,date,open,high,low,close,adjClose,volume
31,2022-07-14,250.5700073,255.1399994,245.9400024,254.0800018,254.0800018,25102800.0
32,2022-07-13,250.1900024,253.5500031,248.1100006,252.7200012,252.7200012,29497400.0
33,2022-07-12,265.8800049,265.9400024,252.0399933,253.6699982,253.6699982,35868500.0
34,2022-07-11,265.6499939,266.5299988,262.1799927,264.5100098,264.5100098,19455200.0
35,2022-07-08,264.7900085,268.1000061,263.2900085,267.6600037,267.6600037,19658800.0
36,2022-07-07,265.1199951,269.0599976,265.019989,268.3999939,268.3999939,20859900.0
37,2022-07-06,263.75,267.9899902,262.3999939,266.2099915,266.2099915,23824400.0
38,2022-07-05,256.1600037,262.980011,254.7400055,262.8500061,262.8500061,22941000.0
39,2022-07-01,256.3900146,259.769989,254.6100006,259.5799866,259.5799866,22837700.0
40,2022-06-30,257.0499878,259.5299988,252.8999939,256.8299866,256.8299866,31730900.0
41,2022-06-29,257.5899963,261.9700012,255.7599945,260.2600098,260.2600098,20069800.0
42,2022-06-28,263.980011,266.9100037,256.3200073,256.480011,256.480011,27295500.0
43,2022-06-27,268.2099915,268.2999878,263.2799988,264.8900146,264.8900146,24615100.0
44,2022-06-24,261.8099976,267.980011,261.7200012,267.7000122,267.7000122,33923200.0
45,2022-06-23,255.5700073,259.3699951,253.6300049,258.8599854,258.8599854,25861400.0
46,2022-06-22,251.8899994,257.1700134,250.3699951,253.1300049,253.1300049,25939900.0
47,2022-06-21,250.2599945,254.75,249.5099945,253.7400055,253.7400055,29928300.0
48,2022-06-17,244.6999969,250.5,244.0299988,247.6499939,247.6499939,43084800.0
49,2022-06-16,245.9799957,247.4199982,243.0200043,244.9700012,244.9700012,33169200.0
50,2022-06-15,248.3099976,255.3000031,246.4199982,251.7599945,251.7599945,33111700.0
51,2022-06-14,243.8600006,245.7400055,241.5099945,244.4900055,244.4900055,28651500.0
52,2022-06-13,245.1100006,249.0200043,241.5299988,242.2599945,242.2599945,46135800.0
53,2022-06-10,260.5799866,260.5799866,252.5299988,252.9900055,252.9900055,31422800.0
54,2022-06-09,267.7799988,272.7099915,264.6300049,264.7900085,264.7900085,26439700.0
55,2022-06-08,271.7099915,273.0,269.6099854,270.4100037,270.4100037,17372300.0
56,2022-06-07,266.6400146,273.1300049,265.9400024,272.5,272.5,22860700.0
57,2022-06-06,272.0599976,274.1799927,267.2200012,268.75,268.75,22400300.0
58,2022-06-03,270.3099976,273.4500122,268.4100037,270.019989,270.019989,28059000.0
59,2022-06-02,264.4500122,274.6499939,261.6000061,274.5799866,274.5799866,44008200.0
60,2022-06-01,275.2000122,277.6900024,270.0400085,272.4200134,272.4200134,25292200.0
61,2022-05-31,272.5299988,274.769989,268.9299927,271.8699951,271.8699951,37827700.0
62,2022-05-27,268.480011,273.3399963,267.5599976,273.2399902,273.2399902,26910800.0
63,2022-05-26,262.269989,267.1099854,261.4299927,265.8999939,265.8999939,25002100.0
64,2022-05-25,258.1400146,264.5799866,257.1300049,262.519989,262.519989,28547900.0
65,2022-05-24,257.8900146,261.3299866,253.5,259.6199951,259.6199951,29043900.0
66,2022-05-23,255.4900055,261.5,253.4299927,260.6499939,260.6499939,33175400.0
67,2022-05-20,257.2399902,258.5400085,246.4400024,252.5599976,252.5599976,39199300.0
68,2022-05-19,253.8999939,257.6700134,251.8800049,253.1399994,253.1399994,32692300.0
69,2022-05-18,263.0,263.6000061,252.7700043,254.0800018,254.0800018,31356000.0
70,2022-05-17,266.1099854,268.3299866,262.4599915,266.8200073,266.2000122,28828800.0
71,2022-05-16,259.9599915,265.8200073,255.7799988,261.5,260.8923645,32550900.0
72,2022-05-13,257.3500061,263.0400085,255.3500061,261.1199951,260.5132446,34925100.0
73,2022-05-12,257.6900024,259.8800049,250.0200043,255.3500061,254.7566528,51033800.0
74,2022-05-11,265.6799927,271.3599854,259.2999878,260.5499878,259.9445496,48975900.0
75,2022-05-10,271.6900024,273.75,265.0700073,269.5,268.8737793,39336400.0
76,2022-05-09,270.0599976,272.3599854,263.3200073,264.5799866,263.9651794,47726000.0
77,2022-05-06,274.8099976,279.25,271.269989,274.730011,274.0916138,37780300.0
78,2022-05-05,285.5400085,286.3500061,274.3399963,277.3500061,276.7055359,43260400.0
79,2022-05-04,282.5899963,290.8800049,276.730011,289.980011,289.3061829,33599300.0
80,2022-05-03,283.9599915,284.1300049,280.1499939,281.7799988,281.1252441,25978600.0
81,2022-05-02,277.7099915,284.9400024,276.2200012,284.4700012,283.8089905,35151100.0
82,2022-04-29,288.6099854,289.8800049,276.5,277.519989,276.8751221,37073900.0
83,2022-04-28,285.1900024,290.980011,281.4599915,289.6300049,288.9570007,33646600.0
84,2022-04-27,282.1000061,290.9700012,279.1600037,283.2200012,282.5618896,63477700.0
85,2022-04-26,277.5,278.3599854,270.0,270.2200012,269.5921021,46518400.0
86,2022-04-25,273.2900085,281.1099854,270.769989,280.7200012,280.067688,35678900.0
87,2022-04-22,281.6799927,283.2000122,273.3800049,274.0299988,273.3932495,29405800.0
88,2022-04-21,288.5799866,293.2999878,280.0599976,280.8099976,280.1574707,29454600.0
89,2022-04-20,289.3999939,289.7000122,285.3699951,286.3599854,285.6945801,22906700.0
90,2022-04-19,279.3800049,286.1700134,278.4100037,285.2999878,284.6370544,22297700.0
91,2022-04-18,278.9100037,282.4599915,278.3399963,280.519989,279.8681335,20778000.0
